name,moniker,difficulty,equation,n_found_tisr,n_found_pysr
B5,orbital_period,hard,2*3.1415926535897*v1^(3/2)/sqrt(6.67430e-11*(v2+v3)),5,2
B6,relativistic_orbit_shift,hard,sqrt(1+2*v1^2*v2*v3^2/(v4*(v5*v6*v7^2)^2)),5,0
B9,gravitational_wave_power,hard,neg(32/5)*6.67430e-11^4/2.99792458e8^5*(v1*v2)^2*(v1+v2)/v3^5,5,0
I.11.19,dot_product,medium,v1*v2+v3*v4+v5*v6,5,5
I.12.1,magnetic_moment,easy,v1*v2,5,2
I.12.11,lorentz_force,medium,v1*(v2+v3*v4*sin(v5)),5,5
I.12.2,coulomb_force,medium,v1*v2*v3/(4*3.1415926535897*8.854e-12*v3^3),5,5
I.12.4,electric_field_point,easy,v1*v2/(4*3.1415926535897*8.854e-12*v2^3),5,5
I.12.5,electric_force,easy,v1*v2,5,3
I.13.12,gravitational_potential,medium,6.67430e-11*v1*v2*(1/v3-1/v4),5,5
I.13.4,kinetic_energy,medium,1/2*v1*(v2^2+v3^2+v4^2),5,5
I.14.3,earth_gravitational_potential,easy,9.80665*v1*v2,5,5
I.14.4,spring_potential,easy,1/2*v1*v2^2,5,5
I.18.12,torque,easy,v1*v2*sin(v3),5,5
I.18.14,angular_momentum,easy,v1*v2*v3*sin(v4),5,5
I.18.4,center_of_mass,medium,(v1*v2+v3*v4)/(v1+v3),5,5
I.24.6,harmonic_energy,medium,1/2*v1*(v2^2+v3^2)*1/2*v4^2,5,3
I.25.13,capacitor_charge,easy,v1/v2,5,0
I.26.2,snells_law,easy,sin(v1)/sin(v2),5,5
I.27.6,lens_formula,easy,1/(1/v1+v2/v3),5,5
I.29.4,normalized_frequency,medium,v1/2.99792458e8,5,0
I.30.3,diffraction_intensity,hard,v1*sin(v2*v3/2)^2/sin(v3/2)^2,5,0
I.30.5,diffraction_wavelength,easy,v1/(v2*sin(v3)),5,5
I.32.17,dipole_radiation_power,hard,(1/2*8.854e-12*2.99792458e8*v1^2)*(8*3.1415926535897*v2^2/3)*(v3^4/(v3^2-v4^2)^2),5,0
I.32.5,radiation_reaction,medium,v1^2*v2^2/(6*3.1415926535897*8.854e-12*2.99792458e8^3),5,5
I.34.1,relativistic_doppler_shift,medium,v1/(1-v2/2.99792458e8),5,3
I.34.27,photon_energy,medium,(6.626e-34/(2*3.1415926535897))*v1,5,0
I.34.8,cyclotron_frequency,medium,v1*v2*v3/v4,5,5
I.38.12,fine_structure,medium,4*3.1415926535897*8.854e-12*(6.626e-34/(2*3.1415926535897))^2/(v1*v2^2),5,0
I.39.1,ideal_gas_internal_energy,medium,3/2*v1*v2,5,5
I.39.11,polytropic_energy,medium,1/(v1-1)*v2*v3,5,2
I.39.22,ideal_gas_pressure,hard,v1*1.380649e-23*v2/v3,5,5
I.40.1,barometric_formula,hard,v1*exp(neg(v2)*9.80665*v3/(1.380649e-23*v4)),5,1
I.43.16,electron_drift_velocity,easy,v1*v2*v3/v4,5,5
I.43.31,thermal_mobility,medium,v1*1.380649e-23*v2,5,5
I.43.43,energy_per_volume,medium,1/(v1-1)*1.380649e-23*v2/v3,5,0
I.44.4,entropy_change,hard,v1*1.380649e-23*v2*log(v3/v4),5,0
I.47.23,sound_speed,easy,sqrt(v1*v2/v3),5,5
I.50.26,nonlinear_oscillator,hard,v1*(cos(v2*v3)+v4*cos(v2*v3)^2),5,5
I.6.2,gaussian,hard,exp(neg((v1/v2)^2)/2)/(sqrt(2*3.1415926535897)*v2),5,2
I.6.2a,gaussian_std,hard,exp(neg(v1^2)/2)/sqrt(2*3.1415926535897),5,5
I.6.2b,gaussian_shifted,hard,exp(neg(((v1-v2)/v3)^2)/2)/(sqrt(2*3.1415926535897)*v3),5,3
I.8.14,euclidean_2d,medium,sqrt((v1-v2)^2+(v3-v4)^2),5,5
II.10.9,electric_susceptibility,easy,v1/8.854e-12*1/(1+v2),5,5
II.11.20,polarizability_density,hard,v1*v2^2*v3/(3*1.380649e-23*v4),5,1
II.11.3,driven_oscillator,medium,v1*v2/(v3*(v4^2-v5^2)),5,0
II.13.17,radiated_power,easy,1/(4*3.1415926535897*8.854e-12*2.99792458e8^2)*2*v1/v2,5,5
